0,HPS IC8G,Opel Insignia,2008,5
1,HPC R24Z,Opel Insignia,2007,5
2,HPC L4I6,Opel Corsa,2019,5
3,HPU M8IX,Fiat Stillo,2016,5
4,HPU JPDX,Opel Insignia,2019,5
5,HPZ XX8A,Opel Insignia,2006,5
6,HPU B1R1,Fiat Tipo,2009,5
7,HPC CZZ4,Kia Sportage,2006,5
8,HP QB5U6,Opel Astra,2009,5
9,HP PJ6YM,Fiat Bravo,2015,5
10,HPU BB2K,Kia Optima,2015,5
11,HPU AIWK,Opel Corsa,2006,5
12,HPU 1UB3,Fiat Tipo,2008,5
13,HP WZJPD,Hyundai Elantra,2016,5
14,HPC TKKF,Opel Insignia,2017,5
15,HPZ NX0H,Kia Optima,2014,5
16,HPZ IUJT,Opel Corsa,2017,5
17,HPZ N2FP,Fiat Tipo,2016,5
18,HPZ ZLSH,Hyundai Elantra,2010,5
19,HPU I66N,Hyundai Tuscon,2009,5
20,HP VY2F6,Hyundai I30,2009,5
21,HPZ OQJH,Kia Optima,2005,5
22,HPS LPOD,Kia Sportage,2019,5
23,HPU F12U,Kia Optima,2010,5
24,HP GVTPE,Fiat Tipo,2015,5
25,HPU 7VU0,Fiat Albea,2018,5
26,HPS Z0GJ,Kia Optima,2015,5
27,HPU NZ5K,Kia Cee'd,2019,5
28,HPZ KHVI,Kia Cee'd,2006,5
29,HPZ 6976,Opel Insignia,2007,5
30,HPC TK2Q,Hyundai I20,2015,5
31,HPU VIQF,Opel Corsa,2018,5
32,HPS EQ0Y,Opel Corsa,2007,5
33,HP B8LBQ,Hyundai I30,2005,5
34,HPC OZOX,Hyundai Tuscon,2005,5
35,HP XOSW5,Kia Sportage,2015,5
36,HPZ 4697,Fiat Stillo,2013,5
37,HPU PGKG,Kia Optima,2012,5
38,HPZ GCLJ,Opel Insignia,2018,5
39,HPS 1RJJ,Kia Sportage,2018,5
40,HPU RJMS,Opel Insignia,2016,5
41,HPZ 4AYF,Kia Sportage,2012,5
42,HPZ LP9G,Opel Astra,2006,5
43,HP GRE9L,Opel Astra,2018,5
44,HPS PEYM,Hyundai Tuscon,2008,5
45,HPZ E9AK,Opel Corsa,2009,5
46,HPU K8ZZ,Hyundai I20,2013,5
47,HPZ 9AGZ,Hyundai Elantra,2015,5
48,HPS DP5R,Opel Insignia,2013,5
49,HP A4EBY,Kia Optima,2008,5
50,HPZ 0U3O,Fiat Albea,2013,5
51,HPS W9L9,Hyundai I30,2011,5
52,HPS 9CVH,Kia Sportage,2010,5
53,HPC KKAG,Kia Optima,2009,5
54,HPS CNYO,Kia Sportage,2019,5
55,HPS 58LB,Fiat Stillo,2018,5
56,HPU KTCV,Kia Optima,2011,5
57,HPS 10FZ,Opel Corsa,2010,5
58,HP B5NMW,Opel Corsa,2009,5
59,HPU PYC3,Hyundai Tuscon,2013,5
